day,daily_usdc_volume,daily_usdc_tx_count
2023-01-18 0:00,22282887051,110204
2023-01-19 0:00,16424456880,98326
2023-01-20 0:00,16789603800,90458
2023-01-21 0:00,14525969425,92683
2023-01-22 0:00,13197846997,76545
2023-01-23 0:00,19723666245,80030
2023-01-24 0:00,14202566454,77933
2023-01-25 0:00,15912943933,84946
2023-01-26 0:00,15368866774,90430
2023-01-27 0:00,16409687411,86242
2023-01-28 0:00,4108787096,64289
2023-01-29 0:00,3738808258,64625
2023-01-30 0:00,10111161323,88444
2023-01-31 0:00,9437743336,84895
2023-02-01 0:00,8833208804,103087
2023-02-02 0:00,11358341336,117970
2023-02-03 0:00,21186368493,91383
2023-02-04 0:00,5609971656,84343
2023-02-05 0:00,6213654971,78139
2023-02-06 0:00,8262350649,95587
2023-02-07 0:00,7907961896,115210
2023-02-08 0:00,9631090223,117187
2023-02-09 0:00,11467838926,116192
2023-02-10 0:00,41632594130,127360
2023-02-11 0:00,6439855430,90471
2023-02-12 0:00,5957036836,95761
2023-02-13 0:00,16659706940,112464
2023-02-14 0:00,25312826131,108598
2023-02-15 0:00,14833741821,109849
2023-02-16 0:00,15385592039,115148
2023-02-17 0:00,10738977717,103039
2023-02-18 0:00,8933107554,150673
2023-02-19 0:00,7964774627,76582
2023-02-20 0:00,6680387341,82303
2023-02-21 0:00,2010519150132,92984
2023-02-22 0:00,10412400378,116717
2023-02-23 0:00,11099601022,151623
2023-02-24 0:00,596037052963,77994
2023-02-25 0:00,12634530427,61044
2023-02-26 0:00,6627726865,58098
2023-02-27 0:00,10948480237,77735
2023-02-28 0:00,8510859949,80144
2023-03-01 0:00,10403878498,88342
2023-03-02 0:00,13108093584,84467
2023-03-03 0:00,16294910184,86606
2023-03-04 0:00,6787240658,55400
2023-03-05 0:00,4112353447,52455
2023-03-06 0:00,10029090070,66326
2023-03-07 0:00,11610838286,75179
2023-03-08 0:00,7671848034,71472
2023-03-09 0:00,10577901449,89750
2023-03-10 0:00,33101377395,149919
2023-03-11 0:00,53340729591,321154
2023-03-12 0:00,18969631080,121561
2023-03-13 0:00,31480547630,122863
2023-03-14 0:00,23615261656,95087
2023-03-15 0:00,544929103155,79607
2023-03-16 0:00,16466824053,74642
2023-03-17 0:00,26946075188,77179
2023-03-18 0:00,1.00E+25,70658
2023-03-19 0:00,3069196874257644000,63547
2023-03-20 0:00,8657765226796279000,78451
2023-03-21 0:00,1.00E+25,81896
2023-03-22 0:00,15200180036366420000,90380
2023-03-23 0:00,68452523752258716000,147506
2023-03-24 0:00,12582025022860706000,100205
2023-03-25 0:00,1.00E+25,74014
2023-03-26 0:00,37213601179421110000,86342
2023-03-27 0:00,34341404811554808000,120051
2023-03-28 0:00,20071648409471517000,101812
2023-03-29 0:00,7097634344,77317
2023-03-30 0:00,8782310395,76481
2023-03-31 0:00,9866914971,80740
2023-04-01 0:00,34195738625,63561
2023-04-02 0:00,3618101726,56465
2023-04-03 0:00,8043759063,75284
2023-04-04 0:00,1.00E+25,67216
2023-04-05 0:00,6011993193,66572
2023-04-06 0:00,36123911419,64914
2023-04-07 0:00,26324087372044,63838
2023-04-08 0:00,3267716832,49679
2023-04-09 0:00,4080413557,45794
2023-04-10 0:00,38355132681,63347
2023-04-11 0:00,100008043162012,72901
2023-04-12 0:00,100013311471853,67444
2023-04-13 0:00,39698149694,63471
2023-04-14 0:00,9217705685,78744
2023-04-15 0:00,3735166680,52163
2023-04-16 0:00,10003092036978,49479
2023-04-17 0:00,1.00E+25,63819
2023-04-18 0:00,10000006363464962,58806
2023-04-19 0:00,75036292280113,60421
2023-04-20 0:00,1.02004E+15,58928
2023-04-21 0:00,12344570031204576,74453
2023-04-22 0:00,100003442165986,45767
2023-04-23 0:00,200002014672330,39874
2023-04-24 0:00,5104870460,51048
2023-04-25 0:00,34934416217,55832
2023-04-26 0:00,7595466356,63138
2023-04-27 0:00,6925589423,55556
2023-04-28 0:00,9666880978,51547
2023-04-29 0:00,2992178446,39560
2023-04-30 0:00,1713341609,45162
2023-05-01 0:00,4320291801,61527
2023-05-02 0:00,24030005696840920,57233
2023-05-03 0:00,33632584239,60359
2023-05-04 0:00,3759997509,56723
2023-05-05 0:00,5578286659,47774
2023-05-06 0:00,1887388446,37776
2023-05-07 0:00,1163893927,32413
2023-05-08 0:00,5058667627,54456
2023-05-09 0:00,3902734962,46099
2023-05-10 0:00,4395420860,46095
2023-05-11 0:00,32470139047,46369
2023-05-12 0:00,4443398241,51038
2023-05-13 0:00,202016571620154720,46586
2023-05-14 0:00,913743005.1,32708
2023-05-15 0:00,6240918742,43609
2023-05-16 0:00,1.00E+26,47971
2023-05-17 0:00,5671834946,53934
2023-05-18 0:00,232117412403,47674
2023-05-19 0:00,6664034947,45495
2023-05-20 0:00,1822695541,34371
2023-05-21 0:00,1956987150,38006
2023-05-22 0:00,4602116719,50031
2023-05-23 0:00,34381695106327540,48096
2023-05-24 0:00,36192210334,51822
2023-05-25 0:00,65567004969259840,47862
2023-05-26 0:00,204440685279,45423
2023-05-27 0:00,1602712657,33596
2023-05-28 0:00,29931593119,35390
2023-05-29 0:00,3575829176,41708
2023-05-30 0:00,5330424890,51699
2023-05-31 0:00,6706718683,50702
2023-06-01 0:00,191545502871,46418
2023-06-02 0:00,4303616725,48217
2023-06-03 0:00,1484459791,33960
2023-06-04 0:00,28778224578,32196
2023-06-05 0:00,1.00E+26,54117
2023-06-06 0:00,7843622070,52174
2023-06-07 0:00,33321957865,49955
2023-06-08 0:00,7659418192,61504
2023-06-09 0:00,8444690718,49371
2023-06-10 0:00,4886007772,93682
2023-06-11 0:00,3633785558,45930
2023-06-12 0:00,7023870377,54785
2023-06-13 0:00,34266991094,55032
2023-06-14 0:00,2.70E+26,62859
2023-06-15 0:00,14257361031,84135
2023-06-16 0:00,9508052686,61112
2023-06-17 0:00,4180334704,39209
2023-06-18 0:00,2592839918,31840
2023-06-19 0:00,31631639044,43639
2023-06-20 0:00,36770064659,53886
2023-06-21 0:00,13149371272,66216
2023-06-22 0:00,37268125985,59131
2023-06-23 0:00,62905958167,55011
2023-06-24 0:00,31112346983,42970
2023-06-25 0:00,30917271208,43712
2023-06-26 0:00,61142041941,56733
2023-06-27 0:00,33121615363,66475
2023-06-28 0:00,6317650250,66105
2023-06-29 0:00,6100336016,52979
2023-06-30 0:00,11163489142,72323
2023-07-01 0:00,30288035711,51468
2023-07-02 0:00,2478929873,46865
2023-07-03 0:00,7908281239,66817
2023-07-04 0:00,30414918385,56754
2023-07-05 0:00,1.40292E+15,49576
2023-07-06 0:00,32635199484,55781
2023-07-07 0:00,30865399202,61787
2023-07-08 0:00,28693992713,49363
2023-07-09 0:00,2723895649,46269
2023-07-10 0:00,32966402241,61194
2023-07-11 0:00,80835845769,56714
2023-07-12 0:00,59348494956,58990
2023-07-13 0:00,85054333246,66343
2023-07-14 0:00,34568907599,72663
2023-07-15 0:00,3001567869,45347
2023-07-16 0:00,2738205232178,42850
2023-07-17 0:00,9683115260,56780
2023-07-18 0:00,6064607793,51451
2023-07-19 0:00,8925735317386,57579
2023-07-20 0:00,2.3654E+15,64236
2023-07-21 0:00,28333038225839,64810
2023-07-22 0:00,924451201689,58709
2023-07-23 0:00,8004790239228,39281
2023-07-24 0:00,370694379085,60376
2023-07-25 0:00,647954417747,45959
2023-07-26 0:00,100409524925632,57609
2023-07-27 0:00,218521451703,46188
2023-07-28 0:00,138275146196,41345
2023-07-29 0:00,32684325130,32819
2023-07-30 0:00,73070815770,39448
2023-07-31 0:00,31645687780,69935
2023-08-01 0:00,84777019995,62925
2023-08-02 0:00,38397462102,51094
2023-08-03 0:00,15511697748,48506
2023-08-04 0:00,4021683307276,46749
2023-08-05 0:00,4190281569,32991
2023-08-06 0:00,3837137324,34704
2023-08-07 0:00,40718710632,46273
2023-08-08 0:00,14933160930,52814
2023-08-09 0:00,13245308899,49502
2023-08-10 0:00,3000000008497142300,48660
2023-08-11 0:00,6589601128,47506
2023-08-12 0:00,8223572887,34535
2023-08-13 0:00,291610719291,36128
2023-08-14 0:00,429640388509,46420
2023-08-15 0:00,188396219112,50949
2023-08-16 0:00,203087833693,50357
2023-08-17 0:00,4.12336E+15,68328
2023-08-18 0:00,37444925183942,68913
2023-08-19 0:00,9358577285638,43823
2023-08-20 0:00,6865786894016,38201
2023-08-21 0:00,1666066668669,49871
2023-08-22 0:00,65795162328,52814
2023-08-23 0:00,32829144118,51848
2023-08-24 0:00,48107569032,50153
2023-08-25 0:00,31126440924,52201
2023-08-26 0:00,33323092092,39526
2023-08-27 0:00,2367373462,49312
2023-08-28 0:00,5522324948968,47602
2023-08-29 0:00,9322507624,52586
2023-08-30 0:00,4602831316,45507
2023-08-31 0:00,30333546945,54001
2023-09-01 0:00,31503133301,55771
2023-09-02 0:00,3238928363,36090
2023-09-03 0:00,2711881744,32199
2023-09-04 0:00,3584668560,42304
2023-09-05 0:00,88898381629995,47298
2023-09-06 0:00,4032366103,44501
2023-09-07 0:00,768704874095842,41515
2023-09-08 0:00,26708459096,44377
2023-09-09 0:00,1690742459,30907
2023-09-10 0:00,3802546849,34597
2023-09-11 0:00,6303691351,51833
2023-09-12 0:00,6631527441,49760
2023-09-13 0:00,24205938995252252,43107
2023-09-14 0:00,6875611060,42880
2023-09-15 0:00,855850792685,45995
2023-09-16 0:00,4437912550,37105
2023-09-17 0:00,2957956084,33578
2023-09-18 0:00,5437435279,52067
2023-09-19 0:00,6036273861,46651
2023-09-20 0:00,25617903455,43849
2023-09-21 0:00,5326726611,47415
2023-09-22 0:00,5615299053,45995
2023-09-23 0:00,1917320324,33275
2023-09-24 0:00,2105886355,35916
2023-09-25 0:00,47956416072,47879
2023-09-26 0:00,1.20423E+15,44804
2023-09-27 0:00,5217405574,47543
2023-09-28 0:00,6975381314,52563
2023-09-29 0:00,7358424210,53545
2023-09-30 0:00,3306725031,41353
2023-10-01 0:00,2698645441,42890
2023-10-02 0:00,8033178872,61571
2023-10-03 0:00,306119681010317,50644
2023-10-04 0:00,2.91784E+15,57300
2023-10-05 0:00,159427058488,54625
2023-10-06 0:00,8500166425545,55658
2023-10-07 0:00,2579102536,39254
2023-10-08 0:00,91608323696,39129
2023-10-09 0:00,5842360482,55898
2023-10-10 0:00,1043064408161,52677
2023-10-11 0:00,5833608966,57100
2023-10-12 0:00,6810934746,58892
2023-10-13 0:00,4674166759,55683
2023-10-14 0:00,1784749485,44593
2023-10-15 0:00,1822074226,41235
2023-10-16 0:00,1044878279596,65025
2023-10-17 0:00,6893171932,57247
2023-10-18 0:00,6962739119,56922
2023-10-19 0:00,5967333917,56916
2023-10-20 0:00,6591780058,60073
2023-10-21 0:00,2688650106,50401
2023-10-22 0:00,4168224522,50719
2023-10-23 0:00,8089002319,73702
2023-10-24 0:00,10352897898,84038
2023-10-25 0:00,9719198478,74085
2023-10-26 0:00,10007987909276,68236
2023-10-27 0:00,15605431082,60916
2023-10-28 0:00,2141478968,46549
2023-10-29 0:00,1752060935,44490
2023-10-30 0:00,5397001275,60463
2023-10-31 0:00,8675515591,66017
2023-11-01 0:00,5815294982,68022
2023-11-02 0:00,13034794608,70328
2023-11-03 0:00,5312477762,63110
2023-11-04 0:00,751619290526864,48567
2023-11-05 0:00,2487355071,52678
2023-11-06 0:00,57295672911,57905
2023-11-07 0:00,6308973613,61400
2023-11-08 0:00,5162399414,55852
2023-11-09 0:00,10025466889,76979
2023-11-10 0:00,11691491113,68612
2023-11-11 0:00,3447410288,56645
2023-11-12 0:00,2133245489,50702
2023-11-13 0:00,7720048145,58317
2023-11-14 0:00,10985589098,62378
2023-11-15 0:00,6500411807,64554
2023-11-16 0:00,6798990405,66107
2023-11-17 0:00,6798743249,62269
2023-11-18 0:00,4596788439,50896
2023-11-19 0:00,8609713163,50124
2023-11-20 0:00,4518187548,61847
2023-11-21 0:00,6371997630,71060
2023-11-22 0:00,20030135781853,64272
2023-11-23 0:00,76747782685,53341
2023-11-24 0:00,92681008931,58562
2023-11-25 0:00,1609970862,48360
2023-11-26 0:00,24482652737,47036
2023-11-27 0:00,27699028851,59178
2023-11-28 0:00,25197208554,58358
2023-11-29 0:00,77134024124,62046
2023-11-30 0:00,28189446295,59975
2023-12-01 0:00,23010621688,65413
2023-12-02 0:00,25154913887,55483
2023-12-03 0:00,1949330143,53434
2023-12-04 0:00,73709133033,75765
2023-12-05 0:00,29917404886,71818
2023-12-06 0:00,50165207995,68877
2023-12-07 0:00,50458223215,72031
2023-12-08 0:00,31050398293,77338
2023-12-09 0:00,25255964328,66692
2023-12-10 0:00,46810593102,59366
2023-12-11 0:00,30078190207,81576
2023-12-12 0:00,73531295311,66629
2023-12-13 0:00,29816396784,63264
2023-12-14 0:00,29849683771,67392
2023-12-15 0:00,6327202854,71724
2023-12-16 0:00,25675091632,52898
2023-12-17 0:00,25778689703,50888
2023-12-18 0:00,7086072606,81811
2023-12-19 0:00,30228697140,63044
2023-12-20 0:00,6910060741,63852
2023-12-21 0:00,28976578495,75873
2023-12-22 0:00,51691385648,83367
2023-12-23 0:00,2722665526,66453
2023-12-24 0:00,25241654529,68376
2023-12-25 0:00,7105372705684,65650
2023-12-26 0:00,51144152721,75893
2023-12-27 0:00,7303083853,73165
2023-12-28 0:00,30807663450,79631
2023-12-29 0:00,52896864528,78437
2023-12-30 0:00,26403454181,62218
2023-12-31 0:00,5875766023,65189
2024-01-01 0:00,4272294190,67205
2024-01-02 0:00,9750648037,85762
2024-01-03 0:00,31108211161,83151
2024-01-04 0:00,30815859714,79432
2024-01-05 0:00,6880353103,75927
2024-01-06 0:00,2296573203,57590
2024-01-07 0:00,24630905192,46629
2024-01-08 0:00,31370913374,83629
2024-01-09 0:00,31391063674,83519
2024-01-10 0:00,31730954888,78783
2024-01-11 0:00,58770422734,86248
2024-01-12 0:00,33864263602,85177
2024-01-13 0:00,3371262144,61940
2024-01-14 0:00,47958251011,52949
2024-01-15 0:00,8985854812,67937
2024-01-16 0:00,53803469955,62231
2024-01-17 0:00,10043193250948,61299
2024-01-18 0:00,31687488993,69461
2024-01-19 0:00,79033325229,79959
2024-01-20 0:00,27183175843,58548
2024-01-21 0:00,25533362625,58104
2024-01-22 0:00,30946754825,87194
2024-01-23 0:00,1030981881008,92156
2024-01-24 0:00,52811090184,75469
2024-01-25 0:00,34081355091,70231
2024-01-26 0:00,29539202525,70184
2024-01-27 0:00,25051322310,56528
2024-01-28 0:00,2052617512,56933
2024-01-29 0:00,16320949188,70191
2024-01-30 0:00,31887045432,70973
2024-01-31 0:00,7587211554,80857
2024-02-01 0:00,29823965734,74022
2024-02-02 0:00,5735107801,75316
2024-02-03 0:00,1516624913,50899
2024-02-04 0:00,1226644286,52853
2024-02-05 0:00,6030931791,69529
2024-02-06 0:00,6782917164,59659
2024-02-07 0:00,7448771122,59601
2024-02-08 0:00,8383034946,55282
2024-02-09 0:00,7385503961,52761
2024-02-10 0:00,3133342725,48786
2024-02-11 0:00,2464307370,50637
2024-02-12 0:00,7267944939,55920
2024-02-13 0:00,7778670129,65695
2024-02-14 0:00,6866254334,71534
2024-02-15 0:00,5968375587,70293
2024-02-16 0:00,5802206956,70050
2024-02-17 0:00,2286815414,57462
2024-02-18 0:00,1875275282,56874
2024-02-19 0:00,4390920449,71550
2024-02-20 0:00,7039110042,74246
2024-02-21 0:00,6495475257,64705
2024-02-22 0:00,7700719270,60447
2024-02-23 0:00,11284712415,62773
2024-02-24 0:00,2307191074,51649
2024-02-25 0:00,2222467829,56108
2024-02-26 0:00,100006372202555,70372
2024-02-27 0:00,9927537738,75173
2024-02-28 0:00,11040200549,81442
2024-02-29 0:00,13430415270,80116
2024-03-01 0:00,7614374717,78025
2024-03-02 0:00,3892093161,62598
2024-03-03 0:00,2895158386,65310
2024-03-04 0:00,11360694755,77960
2024-03-05 0:00,15286529891,89047
2024-03-06 0:00,11641606521,79147
2024-03-07 0:00,10796548913,73715
2024-03-08 0:00,12936305572,71501
2024-03-09 0:00,3542242047,61117
2024-03-10 0:00,4753864858,62354
2024-03-11 0:00,13071529721,76398
2024-03-12 0:00,11948650347,75735
2024-03-13 0:00,12158722061,74789
2024-03-14 0:00,13855055342,83098
2024-03-15 0:00,14861782164,94457
2024-03-16 0:00,5661193408,75814
2024-03-17 0:00,4525611544,73068
2024-03-18 0:00,10082391385,79512
2024-03-19 0:00,16807563174,95561
2024-03-20 0:00,15270821207,89834
2024-03-21 0:00,11494798213,75383
2024-03-22 0:00,14609617819,74997
2024-03-23 0:00,2738715144,60872
2024-03-24 0:00,3166003197,61154
2024-03-25 0:00,9974966802,81889
2024-03-26 0:00,10683594929,79977
2024-03-27 0:00,39082641059,77814
2024-03-28 0:00,9960388943,76300
2024-03-29 0:00,11399340165,75452
2024-03-30 0:00,2809051706,63935
2024-03-31 0:00,3140424031,63241
2024-04-01 0:00,12997303347,79509
2024-04-02 0:00,15312829216,96643
2024-04-03 0:00,11257353716,79699
2024-04-04 0:00,13176936601,83310
2024-04-05 0:00,13006914508,81041
2024-04-06 0:00,4803553457,62293
2024-04-07 0:00,3630194310,60510
2024-04-08 0:00,12088638834,77868
2024-04-09 0:00,10999042756,78974
2024-04-10 0:00,8878116006,83438
2024-04-11 0:00,8541034906,79426
2024-04-12 0:00,14646329221,91821
2024-04-13 0:00,9731706059,95681
2024-04-14 0:00,7686875895,95904
2024-04-15 0:00,11580019993,94530
2024-04-16 0:00,11195472544,93847
2024-04-17 0:00,10985122488,80269
2024-04-18 0:00,11050183518,84855
2024-04-19 0:00,15582450415,93106
2024-04-20 0:00,3922004824,67662
2024-04-21 0:00,4240734361,66261
2024-04-22 0:00,1012908381851,78895
2024-04-23 0:00,8695311263,75834
2024-04-24 0:00,12594385906,78787
2024-04-25 0:00,4.72238E+15,77879
2024-04-26 0:00,374994867288597,78813
2024-04-27 0:00,1.29146E+15,69606
2024-04-28 0:00,24219312377704,60657
2024-04-29 0:00,8408096118,76854
2024-04-30 0:00,46190820708284984,92009
2024-05-01 0:00,6.11071E+15,98100
2024-05-02 0:00,30386439394658492,85346
2024-05-03 0:00,331863383787838,87586
2024-05-04 0:00,4726749061,68491
2024-05-05 0:00,2575678744,63870
2024-05-06 0:00,30282152804024988,100216
2024-05-07 0:00,9.00E+27,96999
2024-05-08 0:00,8259545157,84952
2024-05-09 0:00,1.42E+23,95599
2024-05-10 0:00,7120936017,87585
2024-05-11 0:00,2781470278,60623
2024-05-12 0:00,335954582037,64584
2024-05-13 0:00,7216916554,91457
2024-05-14 0:00,8286521010,85199
2024-05-15 0:00,9274117369,94457
2024-05-16 0:00,7831016793,110482
2024-05-17 0:00,4.51E+51,103565
2024-05-18 0:00,2496228797586814500,89041
2024-05-19 0:00,2813275975893041700,98313
2024-05-20 0:00,16528698297,137883
2024-05-21 0:00,21365411570,127851
2024-05-22 0:00,10706128672,96955
2024-05-23 0:00,12671032503,99022
2024-05-24 0:00,34609936959,88982
2024-05-25 0:00,2844469823,76144
2024-05-26 0:00,1932685062056,73181
2024-05-27 0:00,1.63715E+15,76202
2024-05-28 0:00,1.00E+22,79091
2024-05-29 0:00,2.00E+23,82252
2024-05-30 0:00,110353865735,81194
2024-05-31 0:00,7977059966,80035
2024-06-01 0:00,2197312905,65108
2024-06-02 0:00,3873488397,61653
2024-06-03 0:00,9554963080,74937
2024-06-04 0:00,2001298186699029,76964
2024-06-05 0:00,9590605527,75084
2024-06-06 0:00,1234402793119,67680
2024-06-07 0:00,45749269385,77233
2024-06-08 0:00,3979722064,65322
2024-06-09 0:00,2796537856,60519
2024-06-10 0:00,7755518242,76895
2024-06-11 0:00,9805872297,84658
2024-06-12 0:00,8729307656,76843
2024-06-13 0:00,29906116341,79869
2024-06-14 0:00,10604797281,80825
2024-06-15 0:00,2907666334,62850
2024-06-16 0:00,1402109312937588700,60554
2024-06-17 0:00,9639434591,85289
2024-06-18 0:00,9589604290,104049
2024-06-19 0:00,4648012136,75757
2024-06-20 0:00,7646729566,76536
2024-06-21 0:00,7865756486,81793
2024-06-22 0:00,2295718267,66430
2024-06-23 0:00,2909536468,72814
2024-06-24 0:00,11479182788,105080
2024-06-25 0:00,11143150568,97803
2024-06-26 0:00,9250035933,77005
2024-06-27 0:00,10083185040,74900
2024-06-28 0:00,20029154299550,92677
2024-06-29 0:00,2940629421,75815
2024-06-30 0:00,4625486873,74883
2024-07-01 0:00,10338226364,85721
2024-07-02 0:00,8565595448,82053
2024-07-03 0:00,8802472195,85292
2024-07-04 0:00,7462181919,94767
2024-07-05 0:00,13869101097,116003
2024-07-06 0:00,3967265954,78565
2024-07-07 0:00,3341306180,77984
2024-07-08 0:00,11929834811,101015
2024-07-09 0:00,7836734036,84885
2024-07-10 0:00,8985026187,82383
2024-07-11 0:00,20324416048,87060
2024-07-12 0:00,9620195574,87778
2024-07-13 0:00,2703827849,67256
2024-07-14 0:00,6400797590,67687
2024-07-15 0:00,12216684497,88107
2024-07-16 0:00,10747266922,87909
2024-07-17 0:00,8557925397,80620
2024-07-18 0:00,6923289652,75075
2024-07-19 0:00,2.23257E+15,81112
2024-07-20 0:00,6864822265,68863
2024-07-21 0:00,3269940773584,68740
2024-07-22 0:00,9258805642,79648
2024-07-23 0:00,12331381452,88566
2024-07-24 0:00,12025346032,82112
2024-07-25 0:00,8464981664,98231
